age,score_bin,n
14,2.5,26
14,3,70
14,3.5,62
14,4,41
15,2,25
15,2.5,93
15,3,248
15,3.5,187
15,4,110
16,2,54
16,2.5,181
16,3,439
16,3.5,426
16,4,269
17,2,52
17,2.5,269
17,3,711
17,3.5,620
17,4,444
18,2,46
18,2.5,260
18,3,762
18,3.5,613
18,4,538
19,2,33
19,2.5,203
19,3,604
19,3.5,501
19,4,525
20,2,26
20,2.5,147
20,3,444
20,3.5,420
20,4,446
21,2,20
21,2.5,88
21,3,323
21,3.5,303
21,4,318
22,2,14
22,2.5,60
22,3,263
22,3.5,215
22,4,266
23,2.5,28
23,3,135
23,3.5,133
23,4,142
24,3,35
24,3.5,27
24,4,35
